de,en,type,example,example_en
Alter,"age, old man",other,Mein Alter ist 25 Jahre.,My age is 25 years.
Ausschank,"tavern, alcoholic drink",other,Im Ausschank gibt es Bier.,There is beer in the tavern.
Bonbon,"sweet, candy",other,Das Kind isst ein Bonbon.,The child is eating a sweet.
Das Angebot,"offer, supply",noun,Das Angebot ist gültig.,The offer is valid.
Das Anrecht,"right, claim",noun,Ich habe ein Anrecht auf Urlaub.,I have a right to vacation.
Das Auge,"eye, pip",noun,Mein Auge tut weh.,My eye hurts.
Das Australien,Australia,noun,Australien ist ein Kontinent.,Australia is a continent.
Das Auto,"car, auto",noun,Mein Auto ist rot.,My car is red.
Das Baby,"baby, infant",noun,Das Baby schläft.,The baby is sleeping.
Das Band,"band, volume",noun,Die Band spielt Musik.,The band plays music.
Das Bar,bar,noun,No examples available.,
Das Bein,"leg, bone",noun,Mein Bein tut weh.,My leg hurts.
Das Beispiel,"example, model",noun,Kannst du ein Beispiel geben?,Can you give an example?
Das Bett,bed,noun,Ich gehe ins Bett.,I go to bed.
Das Bier,"beer, ale",noun,"Ein kaltes Bier, bitte.","A cold beer, please."
Das Bild,"picture, painting",noun,Das Bild hängt an der Wand.,The picture hangs on the wall.
Das Blatt,"leaf, sheet",noun,Im Herbst fallen die Blätter.,"In autumn, the leaves fall."
Das Blei,lead,noun,Blei ist ein schweres Metall.,Lead is a heavy metal.
Das Blut,blood,noun,No examples available.,
Das Brot,"bread, livelihood",noun,Ich kaufe frisches Brot.,I buy fresh bread.
Das Buch,"book, script",noun,Ich lese ein Buch.,I am reading a book.
Das Chinesisch,Chinese,noun,Ich lerne Chinesisch.,I am learning Chinese.
Das Deutsch,German,noun,Ich spreche Deutsch.,I speak German.
Das Deutschland,Germany,noun,Deutschland liegt in Europa.,Germany is in Europe.
Das Dorf,village,noun,Das Dorf ist sehr klein.,The village is very small.
Das Ei,"egg, ovum",noun,Ich esse ein Ei zum Frühstück.,I eat an egg for breakfast.
Das Eis,"ice, ice cream",noun,Im Sommer esse ich gern Eis.,I like to eat ice cream in summer.
Das Eisen,iron,noun,Eisen ist ein wichtiges Metall.,Iron is an important metal.
Das Element,element,noun,Wasser ist ein wichtiges Element.,Water is an important element.
Das Ende,end,noun,Das ist das Ende des Films.,That is the end of the movie.
Das Englisch,"English, English Opening",noun,Ich spreche Englisch.,I speak English.
Das Essen,"food, meal",noun,Das Essen ist lecker.,The food is delicious.
Das Fach,"subject, discipline",noun,Mathematik ist mein bestes Fach.,Mathematics is my best subject.
Das Fahrrad,"bicycle, bike",noun,Ich fahre mit dem Fahrrad zur Schule.,I go to school by bike.
Das Feld,"field, margin",noun,Das Feld ist voller Blumen.,The field is full of flowers.
Das Fell,"fur, pelt",noun,Das Fell des Hundes ist weich.,The dog's fur is soft.
Das Fenster,window,noun,Das Fenster ist offen.,The window is open.
Das Fernsehgerät,"television, television set",noun,No examples available.,
Das Feuer,fire,noun,Das Feuer brennt.,The fire is burning.
Das Fleisch,"meat, flesh",noun,Ich esse kein Fleisch.,I don't eat meat.
Das Flusspferd,"hippopotamus, hippo",noun,Das Flusspferd lebt im Wasser.,The hippopotamus lives in the water.
Das Gebiet,"area, territory",noun,Das Gebiet ist groß.,The area is large.
Das Gefängnis,"prison, jail",noun,No examples available.,
Das Gefühl,"feeling, sensation",noun,Ich habe ein gutes Gefühl.,I have a good feeling.
Das Gehirn,"brain, mind",noun,Das Gehirn steuert den Körper.,The brain controls the body.
Das Geld,"money, dough",noun,Ich habe kein Geld.,I have no money.
Das Gericht,"court, dish",noun,Das Gericht entscheidet über den Fall.,The court decides on the case.
Das Geschenk,"present, gift",noun,Ich habe ein Geschenk für dich.,I have a present for you.
Das Geschlecht,"sex, gender",noun,Das Geschlecht wird im Pass eingetragen.,The sex is entered in the passport.
Das Geschwätz,"gossip, twaddle",noun,No examples available.,
Das Geschäft,"store, deal",noun,Das Geschäft hat bis 20 Uhr geöffnet.,The store is open until 8 p.m.
Das Gesetz,"law, act",noun,Das Gesetz ist wichtig.,The law is important.
Das Gesicht,"face, expression",noun,Sie hat ein freundliches Gesicht.,She has a friendly face.
Das Gespenst,ghost,noun,Das Gespenst spukt im Schloss.,The ghost haunts the castle.
Das Getränk,"drink, beverage",noun,Welches Getränk möchten Sie bestellen?,Which drink would you like to order?
Das Glas,glass,noun,Ich trinke Wasser aus einem Glas.,I drink water from a glass.
Das Glied,"limb, member",noun,Er hat ein gebrochenes Glied.,He has a broken limb.
Das Glück,"luck, happiness",noun,Viel Glück!,Good luck!
Das Glühwürmchen,"firefly, glow-worm",noun,Das Glühwürmchen leuchtet.,The firefly glows.
Das Gold,gold,noun,Gold ist ein wertvolles Metall.,Gold is a valuable metal.
Das Gras,"grass, herbage",noun,Das Gras ist grün.,The grass is green.
Das Gut,"property, good",noun,Das Gut gehört einer Familie.,The property belongs to a family.
Das Haar,hair,noun,Sie hat lange Haare.,She has long hair.
Das Haupt,"head, chief",noun,Das Haupt der Firma ist hier.,The head of the company is here.
Das Haus,"house, home",noun,Das Haus ist groß.,The house is big.
Das Herz,"heart, hearts",noun,Mein Herz schlägt schnell.,My heart beats fast.
Das Holz,"wood, timber",noun,Der Tisch ist aus Holz.,The table is made of wood.
Das Huhn,"hen, chicken",noun,Das Huhn legt ein Ei.,The hen lays an egg.
Das Hörnchen,"croissant, cone",noun,Ich esse ein Hörnchen.,I am eating a croissant.
Das Indien,India,noun,Indien ist ein großes Land.,India is a big country.
Das Jahr,"year, age",noun,Ein Jahr hat zwölf Monate.,A year has twelve months.
